Drivers;BiodiversityMetric;Effect_Fish;Effect_Insect
H_Heterogeneity;C_Richness;0.1325;0.2442
G_Cover;C_Richness;-0.018;-0.1074
F_Urbanization;C_Richness;-0.0385;-0.1387
E_Cropland;C_Richness;0.1604;-0.1567
D_Precipitation;C_Richness;0.3517;0.1343
C_Temperature;C_Richness;0.1803;-0.2292
B_DepthHete;C_Richness;0.0897;-0.0036
A_Catchment;C_Richness;0.4672;-0.2278
H_Heterogeneity;B_Density;0.0902;0.2044
G_Cover;B_Density;-0.0533;-0.084
F_Urbanization;B_Density;-0.0048;-0.0741
E_Cropland;B_Density;0.1334;-0.0741
D_Precipitation;B_Density;0.2088;-0.1033
C_Temperature;B_Density;0.1359;-0.1362
B_DepthHete;B_Density;0.0887;-0.0018
A_Catchment;B_Density;0.3067;-0.2883
H_Heterogeneity;A_LCBD;0.2119;0.0371
G_Cover;A_LCBD;0.4157;0.2841
F_Urbanization;A_LCBD;0.0002;-0.0225
E_Cropland;A_LCBD;-0.0075;-0.0184
D_Precipitation;A_LCBD;-0.0406;0.055
C_Temperature;A_LCBD;-0.1083;-0.1269
B_DepthHete;A_LCBD;-0.0149;-0.0007
A_Catchment;A_LCBD;0.0298;-0.0049
